Partisan Records,Interscope Records,Republic Records
Partisan Records,Skip to content,Artists
Home,FREE STANDARD US SHIPPING OVER $100. DETAILS & EXCLUSIONS APPLY.,Tiktok
Artists,Artists,Spotify
Tours,Vinyl,Artists
Store,CDs,Tiktok
Angélica Garcia,Cassettes,Spotify
Aoife Nessa Frances,Box Sets,TikTok
Beth Orton,Soundtracks,YouTube
Blondshell,T-Shirts,TikTok
Body Meat,Sweatshirts,YouTube
Bombino,Outerwear,TikTok
Cameron Winter,Headwear,YouTube
Cigarettes After Sex,Accessories,TikTok
Cymande,New Arrivals,YouTube
DJ Rashad,Limited Signed Music,Website
Ezra Collective,Vintage,TikTok
Fela Kuti,Staff Picks,TikTok
Femi Kuti,Interscope Core,YouTube
Geese,Artist Series Vinyl,TikTok
Grian Chatten,Interscope x New Era,YouTube
HONESTY,Chocolate x Interscope,TikTok
IDLES,Trophy x Dr. Dre,YouTube
Just Mustard,Joshua Vides x 2Pac,TikTok
Laura Marling,Interscope x Fragment,YouTube
Léa Sen,2Pac x Fragment,TikTok
Lip Critic,Who Decides War x EST Gee,YouTube
Maple Glider,IVC Archive,YouTube
NoSo,Login,TikTok
PJ Harvey,Create Account,YouTube
Skinny Pelembe,Cart,TikTok
Sun’s Signature,Artists,YouTube
TTSSFU,Vinyl,TikTok
Ultraísta,CDs,YouTube
Westerman,Cassettes,TikTok
WITCH,Box Sets,YouTube
Aerial East,Soundtracks,TikTok
Ages and Ages,T-Shirts,YouTube
Baby In Vain,Sweatshirts,TikTok
BOBBY,Outerwear,YouTube
Body Type,Headwear,YouTube
Callers,Accessories,TikTok
Christopher Denny,New Arrivals,YouTube
Chubby & The Gang,Limited Signed Music,TikTok
Craig Finn,Vintage,YouTube
Deer Tick,Staff Picks,TikTok
Diamond Rugs,Interscope Core,YouTube
Dilly Dally,Artist Series Vinyl,YouTube
Dolorean,Interscope x New Era,YouTube
Eagulls,Chocolate x Interscope,TikTok
EMEL,Trophy x Dr. Dre,YouTube
Emily Wells,Joshua Vides x 2Pac,TikTok
Erika Wennerstrom,Interscope x Fragment,YouTube
Field Report,2Pac x Fragment,YouTube
Flock of Dimes,Who Decides War x EST Gee,TikTok
Fontaines D.C.,IVC Archive,YouTube
FREEMAN,My Account,TikTok
Goon,Cart,YouTube
Guards,2Pac,TikTok
Heartless Bastards,42 Dugg,YouTube
Holy Sons,6LACK,TikTok
JBM,Allison Ponthier,YouTube
John Grant,Amaarae,TikTok
Lontalius,Amber Mark,YouTube
Lumerians,Amirah,YouTube
LUMP,Anyma,TikTok
Mádé Kuti,Ari Lennox,YouTube
Made Of Oak,Arin Ray,TikTok
Mercury Rev,Avicii,YouTube
Middle Brother,Bad Gyal,YouTube
Molly Sarlé,Bas,TikTok
Mountain Man,Ben Platt,Discord
Nico Yaryan,Benny Blanco,YouTube
Paleo,Billie Eilish,TikTok
PHOX,BLACKPINK,YouTube
Pottery,Blink-182,TikTok
Pure Bathing Culture,Bow Anderson,YouTube
Sallie Ford & The Sound Outside,boygenius,TikTok
Sam Burton,BOYNEXTDOOR,YouTube
Spike Fuck,BTS,TikTok
Sylvan Esso,Camila Cabello,YouTube
TENDER,Cashmere Cat,TikTok
The Amazing,Chino Pacas,YouTube
The Black Angels,Cuco,TikTok
The Dismemberment Plan,d4vd,YouTube
The Wytches,Dababy,TikTok
TORRES,DERMOT KENNEDY,YouTube
Treetop Flyers,destroy lonely,YouTube
Violents + Monica Martin,DJ Snake,TikTok
Virgin Forest,Dr. Dre,YouTube
Warm Ghost,DSTRCT,TikTok
Email,Ebony Riley,YouTube
TikTok,EL Padrinito Toys,TikTok
Spotify,Ella Mai,YouTube
YouTube,Ellie Goulding,TikTok
Discord,Elton John,YouTube
HERE,Eminem,TikTok
here,ENHYPEN,YouTube
Store Owner,EST Gee,TikTok
Ochre,Euphoria,YouTube
Desert Daze Sound,Fabio Capri,YouTube
section1,Feist,TikTok
Knitting Factory Entertainment,Finneas,YouTube
GrayBits,Flatland Cavalry,TikTok
Vance Wellenstein,fromis_9,YouTube
,glaive,YouTube
,GloRilla,YouTube
,Gracie Abrams,TikTok
,Guns N' Roses,YouTube
,Gwen Stefani,TikTok
,Holly Humberstone,YouTube
,Hwang Min Hyun,TikTok
,Imagine Dragons,TikTok
,Inhaler,YouTube
,Ivan Cornejo,TikTok
,J. Cole,YouTube
,Jacob Collier,TikTok
,Jay Rock,YouTube
,Jazmin Bean,YouTube
,Jenevieve,YouTube
,Jennifer Hudson,TikTok
,Jessie Ware,YouTube
,JID,TikTok
,Jordan Ward,YouTube
,Juice WRLD,TikTok
,Kacey Musgraves,YouTube
,Karol G,TikTok
,Katseye,YouTube
,KATSEYE,YouTube
,Ken Carson,TikTok
,Kendrick Lamar,TikTok
