Label Name,URL
Partisan Records,https://partisanrecords.com/artists
Interscope Records,https://interscope.com/pages/iga-artist-hub
Republic Records,https://www.republicrecords.com/artists/
Concord,https://concord.com/artists/
Atlantic Records,https://www.atlanticrecords.com/artists
Nettwerk,https://nettwerk.com/artists/
Integrity Music,https://www.integritymusic.com/artists
EMPIRE,https://www.empireartists.jp/roster.php
Armada,https://www.armadamusic.com/artists
T-Series,https://www.tseries.com/artist-management
Nuclear Blast,https://www.nuclearblast.com/pages/nuclear-blast-bands
Epitaph,https://www.epitaph.com/artists
Anjunabeats,https://anjunabeats.com/us/artists
MNRK,https://www.mnrk.com/recorded-music/
Epic,https://www.epicrecords.com/
Play Two,https://playtwo.fr/artistes/
MONSTERCAT,https://www.monstercat.com/artists
Kontor Records,https://kontorrecords.de/artists/
Napalm Records,https://napalmrecords.com/english/label-artists
Cooking Vinyl,https://www.cookingvinyl.com/artists
SM Entertainment,https://www.smentertainment.com/en/artist/
Wagram Music,https://www.wagram-stories.com/talents
Ineffable Records,https://www.ineffablemusic.com/management
Saregama India Ltd,https://www.saregama.com/artist?role=8
10K Projects,https://www.10kprojects.com/partners
Avex,https://avex.com/us/labels/selene
Sub Pop Records,https://www.subpop.com/artists
Domino 1,https://www.dominomusic.com/artists/uk
Domino 2,https://www.dominomusic.com/artists/uk?page=2
Domino 3,https://www.dominomusic.com/artists/uk?page=3
Domino 4,https://www.dominomusic.com/artists/uk?page=4
ATO Records,https://atorecords.com/artists/
Ziiki Media 1,https://ziikimedia.com/artists?region=west-africa
Ziiki Media 2,https://ziikimedia.com/artists?region=east-africa
Ziiki Media 3,https://ziikimedia.com/artists?region=southern-africa
Ziiki Media 4,https://ziikimedia.com/artists?region=india-southeast-asia
Lofi Records,https://lofigirl.com/artists/
AntiFragile Music,https://www.antifragilemusic.com/artists
Pony Canyon,https://www.ponycanyon.co.jp/artistlist
Epidemic Sound,https://www.epidemicsound.com/for-artists/
LoudKult,https://loudkult.com/the-artists
Boom.Records (Manual),https://www.boomrecords.co/artists
Big Machine Label Group,https://www.bigmachinelabelgroup.com/artists/
SHARPTONE,https://sharptonerecords.co/pages/artists
Ninja Tune,https://ninjatune.net/artists
Out of Line Music,https://www.outofline.de/artists
Hopeless Records,https://www.hopelessrecords.com/artists
frtyfve,https://frtyfve.com/artists/
Concord Fearless,https://concord.com/artist-archive/fearless-records-artists/
Sumerian Records,https://sumerianrecords.com/pages/artists
TOOLROOM,https://toolroomrecords.com/artists/
Selected.,https://selectedbase.com/artists
Lab Records,https://labrecs.com/artists/
Pure Noise Records,https://www.purenoise.net/artists/
Victor,https://www.jvcmusic.co.jp/-/Artistlist/
Lowly,https://lowly.io/artists/
Rise Records,https://riserecords.com/collections
Arts & Crafts,https://arts-crafts.ca/artists/
Warp Records,https://warp.net/artists
Hollywood Records,https://www.hollywoodrecords.com/artists/
Artist Partner Group,https://www.artistpg.com/artists
4AD,https://4ad.com/artists
Mute,https://mute.com/artists/
Unfd,https://unfdcentral.com/artists/
Loma Vista Recordings,https://www.lomavistarecordings.com/#top
Mouthwatering Records,https://www.mouthwateringrecords.com/artists/
Snafu Records,https://www.snafurecords.com/music
V2 Records Benelux,https://www.v2benelux.com/artists
